,animal_id,group_no,inoculum,inoculation_batch,dpi,sample_mass_mg,date_nuc_prep,incubation_time_hrs,NeuN+_EstTotalCount,PU1+_EstTotalCount,SOX10+_EstTotalCount,SOX2+_EstTotalCount,PU1+_EstTotalCount_per_mg,NeuN+_EstTotalCount_per_mg,SOX10+_EstTotalCount_per_mg,SOX2+_EstTotalCount_per_mg
44,916495,20,CBH,BATCH1,120,270,2025-06-26,18.78,7663752,262389,1377331,445012,971.8111111111111,28384.266666666666,5101.225925925926,1648.1925925925925
45,918286,17,RML,BATCH4,120,197,2025-06-26,19.0,3979593,312024,811349,176568,1583.8781725888325,20200.979695431473,4118.522842639594,896.2842639593908
46,918266,20,CBH,BATCH4,120,254,2025-06-30,19.05,5318760,334757,1176308,269857,1317.9409448818897,20940.0,4631.133858267716,1062.4291338582677
47,918268,3,22L,BATCH4,60,224,2025-06-30,19.73,5847055,307741,1336045,337450,1373.84375,26102.92410714286,5964.486607142857,1506.4732142857142
48,918272,9,RML,BATCH4,90,215,2025-07-01,17.47,5241408,222295,1093843,320950,1033.9302325581396,24378.641860465115,5087.641860465116,1492.7906976744187
49,918281,11,22L,BATCH4,90,285,2025-07-01,17.77,4320476,301658,1224530,366102,1058.4491228070176,15159.564912280703,4296.596491228071,1284.5684210526315
50,916554,9,RML,BATCH2,90,262,2025-07-14,17.93,7023877,520370,1366271,326903,1986.145038167939,26808.690839694656,5214.774809160305,1247.7213740458014
51,916477,17,RML,BATCH1,120,212,2025-07-15,17.52,6460500,456473,1245036,307945,2153.1745283018868,30474.056603773584,5872.811320754717,1452.5707547169811
52,916470,9,RML,BATCH1,90,281,2025-07-15,17.65,7526029,429661,1199847,331754,1529.0427046263346,26783.021352313168,4269.9181494661925,1180.6192170818506
53,916515,19,22L,BATCH2,120,250,2025-07-14,18.0,5840646,349635,1204151,211377,1398.54,23362.584,4816.604,845.508
54,918275,19,22L,BATCH4,120,212,2025-07-16,18.17,4223734,153897,884424,416529,725.9292452830189,19923.27358490566,4171.811320754717,1964.7594339622642
55,918311,2,ME7,BATCH4,60,189,2025-07-16,18.72,4496722,206320,958825,415028,1091.6402116402116,23792.179894179895,5073.148148148148,2195.915343915344
56,917447,10,ME7,BATCH3,90,237,2025-07-23,17.97,4944121,317107,1195770,294088,1338.0042194092828,20861.270042194094,5045.443037974684,1240.8776371308018
57,917425,20,CBH,BATCH3,120,238,2025-07-23,18.05,3377948,134206,729342,246489,563.890756302521,14193.058823529413,3064.4621848739494,1035.6680672268908
58,918262,19,22L,BATCH4,120,228,2025-08-07,17.72,6056519,190641,1189360,390451,836.1447368421053,26563.679824561405,5216.491228070176,1712.5043859649122
59,916501,11,22L,BATCH2,90,245,2025-08-07,17.93,6308775,307629,1086085,253274,1255.6285714285714,25750.102040816328,4433.0,1033.7714285714285
60,918288,9,RML,BATCH4,90,300,2025-08-11,20.12,8113432,277872,1497344,268836,926.24,27044.773333333334,4991.1466666666665,896.12
61,916476,12,CBH,BATCH1,90,257,2025-08-11,20.38,5842246,211080,1119555,268988,821.3229571984435,22732.474708171205,4356.245136186771,1046.645914396887
